Type,Group,Amount,Fish,Taxa
Selenium,Minerals,31.4,Pink salmon,Salmonids
Vitamins,Minerals,,Pink salmon,Salmonids
Vitamin C,Minerals,0,Pink salmon,Salmonids
"Thiamin,",Minerals,0.08,Pink salmon,Salmonids
"Riboflavin,",Minerals,0.11,Pink salmon,Salmonids
"Niacin,",Minerals,8,Pink salmon,Salmonids
Pantothenic,Minerals,1.03,Pink salmon,Salmonids
Vitamin B6,Minerals,0.61,Pink salmon,Salmonids
"Folate,",Minerals,4,Pink salmon,Salmonids
"Choline,",Minerals,94.6,Pink salmon,Salmonids
Vitamin B12,Minerals,4.15,Pink salmon,Salmonids
Vitamin A,Minerals,117,Pink salmon,Salmonids
Vitamin E,Minerals,0.4,Pink salmon,Salmonids
Vitamin D,Minerals,435,Pink salmon,Salmonids
Vitamin K,Minerals,0.4,Pink salmon,Salmonids
"Water,",Water,75.38,Chum salmon,Salmonids
"Energy,",Energy,120,Chum salmon,Salmonids
Protein (N x 6.25),Protein,20.14,Chum salmon,Salmonids
Total lipid (fat),Fat,3.77,Chum salmon,Salmonids
"Tryptophan,",Amino acids,0.226,Chum salmon,Salmonids
"Threonine,",Amino acids,0.883,Chum salmon,Salmonids
"Isoleucine,",Amino acids,0.928,Chum salmon,Salmonids
"Leucine,",Amino acids,1.637,Chum salmon,Salmonids
"Lysine,",Amino acids,1.849,Chum salmon,Salmonids
"Methionine,",Amino acids,0.596,Chum salmon,Salmonids
"Cystine,",Amino acids,0.216,Chum salmon,Salmonids
"Phenylalanine,",Amino acids,0.786,Chum salmon,Salmonids
"Tyrosine,",Amino acids,0.68,Chum salmon,Salmonids
"Valine,",Amino acids,1.037,Chum salmon,Salmonids
"Arginine,",Amino acids,1.205,Chum salmon,Salmonids
"Histidine,",Amino acids,0.593,Chum salmon,Salmonids
"Alanine,",Amino acids,1.218,Chum salmon,Salmonids
Aspartic,Amino acids,2.062,Chum salmon,Salmonids
Glutamic,Amino acids,3.006,Chum salmon,Salmonids
"Glycine,",Amino acids,0.967,Chum salmon,Salmonids
"Proline,",Amino acids,0.712,Chum salmon,Salmonids
"Serine,",Amino acids,0.822,Chum salmon,Salmonids
Total amino acids,Amino acids,19.42,Chum salmon,Salmonids
Saturated,Lipids,0.84,Chum salmon,Salmonids
Monounsaturated,Lipids,1.541,Chum salmon,Salmonids
Polyunsaturated,Lipids,0.898,Chum salmon,Salmonids
"(EPA),",Lipids,233,Chum salmon,Salmonids
"(DHA),",Lipids,394,Chum salmon,Salmonids
Cholesterol,Lipids,74,Chum salmon,Salmonids
Calcium,Minerals,11,Chum salmon,Salmonids
Iron,Minerals,0.55,Chum salmon,Salmonids
Magnesium,Minerals,22,Chum salmon,Salmonids
Phosphorus,Minerals,283,Chum salmon,Salmonids
Potassium,Minerals,429,Chum salmon,Salmonids
Sodium,Minerals,50,Chum salmon,Salmonids
Zinc,Minerals,0.47,Chum salmon,Salmonids
Copper,Minerals,0.06,Chum salmon,Salmonids
Manganese,Minerals,0.02,Chum salmon,Salmonids
Selenium,Minerals,36.5,Chum salmon,Salmonids
Vitamins,Minerals,,Chum salmon,Salmonids
Vitamin C,Minerals,0,Chum salmon,Salmonids
"Thiamin,",Minerals,0.08,Chum salmon,Salmonids
"Riboflavin,",Minerals,0.18,Chum salmon,Salmonids
"Niacin,",Minerals,7,Chum salmon,Salmonids
Pantothenic,Minerals,0.75,Chum salmon,Salmonids
Vitamin B6,Minerals,0.4,Chum salmon,Salmonids
"Folate,",Minerals,4,Chum salmon,Salmonids
"Choline,",Minerals,NA,Chum salmon,Salmonids
Vitamin B12,Minerals,3,Chum salmon,Salmonids
Vitamin A,Minerals,99,Chum salmon,Salmonids
Vitamin E,Minerals,1.09,Chum salmon,Salmonids
Vitamin D,Minerals,NA,Chum salmon,Salmonids
Vitamin K,Minerals,NA,Chum salmon,Salmonids
"Water,",Water,68.26,Eel spp,Miscellaneous diadromous spp
"Energy,",Energy,184,Eel spp,Miscellaneous diadromous spp
Protein (N x 6.25),Protein,18.44,Eel spp,Miscellaneous diadromous spp
Total lipid (fat),Fat,11.66,Eel spp,Miscellaneous diadromous spp
"Tryptophan,",Amino acids,0.207,Eel spp,Miscellaneous diadromous spp
"Threonine,",Amino acids,0.809,Eel spp,Miscellaneous diadromous spp
"Isoleucine,",Amino acids,0.85,Eel spp,Miscellaneous diadromous spp
"Leucine,",Amino acids,1.499,Eel spp,Miscellaneous diadromous spp
"Lysine,",Amino acids,1.694,Eel spp,Miscellaneous diadromous spp
"Methionine,",Amino acids,0.546,Eel spp,Miscellaneous diadromous spp
"Cystine,",Amino acids,0.198,Eel spp,Miscellaneous diadromous spp
"Phenylalanine,",Amino acids,0.72,Eel spp,Miscellaneous diadromous spp
"Tyrosine,",Amino acids,0.623,Eel spp,Miscellaneous diadromous spp
"Valine,",Amino acids,0.95,Eel spp,Miscellaneous diadromous spp
"Arginine,",Amino acids,1.104,Eel spp,Miscellaneous diadromous spp
"Histidine,",Amino acids,0.543,Eel spp,Miscellaneous diadromous spp
"Alanine,",Amino acids,1.115,Eel spp,Miscellaneous diadromous spp
Aspartic,Amino acids,1.889,Eel spp,Miscellaneous diadromous spp
Glutamic,Amino acids,2.753,Eel spp,Miscellaneous diadromous spp
"Glycine,",Amino acids,0.885,Eel spp,Miscellaneous diadromous spp
"Proline,",Amino acids,0.652,Eel spp,Miscellaneous diadromous spp
"Serine,",Amino acids,0.753,Eel spp,Miscellaneous diadromous spp
Total amino acids,Amino acids,17.79,Eel spp,Miscellaneous diadromous spp
Saturated,Lipids,2.358,Eel spp,Miscellaneous diadromous spp
Monounsaturated,Lipids,7.19,Eel spp,Miscellaneous diadromous spp
Polyunsaturated,Lipids,0.947,Eel spp,Miscellaneous diadromous spp
"(EPA),",Lipids,84,Eel spp,Miscellaneous diadromous spp
"(DHA),",Lipids,63,Eel spp,Miscellaneous diadromous spp
Cholesterol,Lipids,126,Eel spp,Miscellaneous diadromous spp
Calcium,Minerals,20,Eel spp,Miscellaneous diadromous spp
Iron,Minerals,0.5,Eel spp,Miscellaneous diadromous spp
Magnesium,Minerals,20,Eel spp,Miscellaneous diadromous spp
Phosphorus,Minerals,216,Eel spp,Miscellaneous diadromous spp
Potassium,Minerals,272,Eel spp,Miscellaneous diadromous spp
Sodium,Minerals,51,Eel spp,Miscellaneous diadromous spp
Zinc,Minerals,1.62,Eel spp,Miscellaneous diadromous spp
Copper,Minerals,0.02,Eel spp,Miscellaneous diadromous spp
Manganese,Minerals,0.04,Eel spp,Miscellaneous diadromous spp
Selenium,Minerals,6.5,Eel spp,Miscellaneous diadromous spp
Vitamins,Minerals,,Eel spp,Miscellaneous diadromous spp
Vitamin C,Minerals,2.4,Eel spp,Miscellaneous diadromous spp
"Thiamin,",Minerals,0.15,Eel spp,Miscellaneous diadromous spp
"Riboflavin,",Minerals,0.04,Eel spp,Miscellaneous diadromous spp
"Niacin,",Minerals,3.5,Eel spp,Miscellaneous diadromous spp
Pantothenic,Minerals,0.24,Eel spp,Miscellaneous diadromous spp
Vitamin B6,Minerals,0.07,Eel spp,Miscellaneous diadromous spp
"Folate,",Minerals,15,Eel spp,Miscellaneous diadromous spp
"Choline,",Minerals,65,Eel spp,Miscellaneous diadromous spp
Vitamin B12,Minerals,3,Eel spp,Miscellaneous diadromous spp
Vitamin A,Minerals,3477,Eel spp,Miscellaneous diadromous spp
Vitamin E,Minerals,3.4,Eel spp,Miscellaneous diadromous spp
Vitamin D,Minerals,932,Eel spp,Miscellaneous diadromous spp
Vitamin K,Minerals,0,Eel spp,Miscellaneous diadromous spp
"Water,",Water,79.18,Dungeness crab,Crustacean
"Energy,",Energy,86,Dungeness crab,Crustacean
Protein (N x 6.25),Protein,17.41,Dungeness crab,Crustacean
Total lipid (fat),Fat,0.97,Dungeness crab,Crustacean
"Tryptophan,",Amino acids,0.242,Dungeness crab,Crustacean
"Threonine,",Amino acids,0.705,Dungeness crab,Crustacean
"Isoleucine,",Amino acids,0.844,Dungeness crab,Crustacean
"Leucine,",Amino acids,1.381,Dungeness crab,Crustacean
"Lysine,",Amino acids,1.515,Dungeness crab,Crustacean
"Methionine,",Amino acids,0.49,Dungeness crab,Crustacean
"Cystine,",Amino acids,0.195,Dungeness crab,Crustacean
"Phenylalanine,",Amino acids,0.735,Dungeness crab,Crustacean
"Tyrosine,",Amino acids,0.579,Dungeness crab,Crustacean
"Valine,",Amino acids,0.819,Dungeness crab,Crustacean
"Arginine,",Amino acids,1.521,Dungeness crab,Crustacean
"Histidine,",Amino acids,0.354,Dungeness crab,Crustacean
"Alanine,",Amino acids,0.986,Dungeness crab,Crustacean
Aspartic,Amino acids,1.799,Dungeness crab,Crustacean
Glutamic,Amino acids,2.969,Dungeness crab,Crustacean
"Glycine,",Amino acids,1.05,Dungeness crab,Crustacean
"Proline,",Amino acids,0.574,Dungeness crab,Crustacean
"Serine,",Amino acids,0.685,Dungeness crab,Crustacean
Total amino acids,Amino acids,17.44,Dungeness crab,Crustacean
Saturated,Lipids,0.132,Dungeness crab,Crustacean
Monounsaturated,Lipids,0.167,Dungeness crab,Crustacean
Polyunsaturated,Lipids,0.317,Dungeness crab,Crustacean
"(EPA),",Lipids,219,Dungeness crab,Crustacean
"(DHA),",Lipids,88,Dungeness crab,Crustacean
Cholesterol,Lipids,59,Dungeness crab,Crustacean
Calcium,Minerals,46,Dungeness crab,Crustacean
Iron,Minerals,0.37,Dungeness crab,Crustacean
Magnesium,Minerals,45,Dungeness crab,Crustacean
Phosphorus,Minerals,182,Dungeness crab,Crustacean
Potassium,Minerals,354,Dungeness crab,Crustacean
Sodium,Minerals,295,Dungeness crab,Crustacean
Zinc,Minerals,4.27,Dungeness crab,Crustacean
Copper,Minerals,0.67,Dungeness crab,Crustacean
Manganese,Minerals,0.08,Dungeness crab,Crustacean
Selenium,Minerals,37.1,Dungeness crab,Crustacean
Vitamins,Minerals,,Dungeness crab,Crustacean
Vitamin C,Minerals,3.5,Dungeness crab,Crustacean
"Thiamin,",Minerals,0.05,Dungeness crab,Crustacean
"Riboflavin,",Minerals,0.17,Dungeness crab,Crustacean
"Niacin,",Minerals,3.14,Dungeness crab,Crustacean
Pantothenic,Minerals,0.35,Dungeness crab,Crustacean
Vitamin B6,Minerals,0.15,Dungeness crab,Crustacean
"Folate,",Minerals,44,Dungeness crab,Crustacean
"Choline,",Minerals,NA,Dungeness crab,Crustacean
Vitamin B12,Minerals,9,Dungeness crab,Crustacean
Vitamin A,Minerals,90,Dungeness crab,Crustacean
Vitamin E,Minerals,NA,Dungeness crab,Crustacean
Vitamin D,Minerals,NA,Dungeness crab,Crustacean
Vitamin K,Minerals,NA,Dungeness crab,Crustacean
"Water,",Water,79.02,Blue crab,Crustacean
"Energy,",Energy,87,Blue crab,Crustacean
Protein (N x 6.25),Protein,18.06,Blue crab,Crustacean
Total lipid (fat),Fat,1.08,Blue crab,Crustacean
"Tryptophan,",Amino acids,0.251,Blue crab,Crustacean
"Threonine,",Amino acids,0.731,Blue crab,Crustacean
"Isoleucine,",Amino acids,0.875,Blue crab,Crustacean
"Leucine,",Amino acids,1.433,Blue crab,Crustacean
"Lysine,",Amino acids,1.572,Blue crab,Crustacean
"Methionine,",Amino acids,0.508,Blue crab,Crustacean
"Cystine,",Amino acids,0.202,Blue crab,Crustacean
"Phenylalanine,",Amino acids,0.763,Blue crab,Crustacean
"Tyrosine,",Amino acids,0.601,Blue crab,Crustacean
"Valine,",Amino acids,0.849,Blue crab,Crustacean
"Arginine,",Amino acids,1.577,Blue crab,Crustacean
"Histidine,",Amino acids,0.367,Blue crab,Crustacean
"Alanine,",Amino acids,1.023,Blue crab,Crustacean
Aspartic,Amino acids,1.866,Blue crab,Crustacean
Glutamic,Amino acids,3.08,Blue crab,Crustacean
"Glycine,",Amino acids,1.089,Blue crab,Crustacean
"Proline,",Amino acids,0.595,Blue crab,Crustacean
"Serine,",Amino acids,0.711,Blue crab,Crustacean
Total amino acids,Amino acids,18.09,Blue crab,Crustacean
Saturated,Lipids,0.222,Blue crab,Crustacean
Monounsaturated,Lipids,0.192,Blue crab,Crustacean
Polyunsaturated,Lipids,0.387,Blue crab,Crustacean
"(EPA),",Lipids,170,Blue crab,Crustacean
"(DHA),",Lipids,150,Blue crab,Crustacean
Cholesterol,Lipids,78,Blue crab,Crustacean
Calcium,Minerals,89,Blue crab,Crustacean
Iron,Minerals,0.74,Blue crab,Crustacean
Magnesium,Minerals,34,Blue crab,Crustacean
Phosphorus,Minerals,229,Blue crab,Crustacean
Potassium,Minerals,329,Blue crab,Crustacean
Sodium,Minerals,293,Blue crab,Crustacean
Zinc,Minerals,3.54,Blue crab,Crustacean
Copper,Minerals,0.67,Blue crab,Crustacean
Manganese,Minerals,0.15,Blue crab,Crustacean
Selenium,Minerals,37.4,Blue crab,Crustacean
Vitamins,Minerals,,Blue crab,Crustacean
Vitamin C,Minerals,3,Blue crab,Crustacean
"Thiamin,",Minerals,0.08,Blue crab,Crustacean
"Riboflavin,",Minerals,0.04,Blue crab,Crustacean
"Niacin,",Minerals,2.7,Blue crab,Crustacean
Pantothenic,Minerals,0.35,Blue crab,Crustacean
Vitamin B6,Minerals,0.15,Blue crab,Crustacean
"Folate,",Minerals,44,Blue crab,Crustacean
"Choline,",Minerals,NA,Blue crab,Crustacean
Vitamin B12,Minerals,9,Blue crab,Crustacean
Vitamin A,Minerals,5,Blue crab,Crustacean
Vitamin E,Minerals,NA,Blue crab,Crustacean
Vitamin D,Minerals,1,Blue crab,Crustacean
Vitamin K,Minerals,NA,Blue crab,Crustacean
"Water,",Water,80.95,Northern lobster,Crustacean
"Energy,",Energy,77,Northern lobster,Crustacean
Protein (N x 6.25),Protein,16.52,Northern lobster,Crustacean
Total lipid (fat),Fat,0.75,Northern lobster,Crustacean
"Tryptophan,",Amino acids,0.215,Northern lobster,Crustacean
"Threonine,",Amino acids,0.654,Northern lobster,Crustacean
"Isoleucine,",Amino acids,0.723,Northern lobster,Crustacean
"Leucine,",Amino acids,1.197,Northern lobster,Crustacean
"Lysine,",Amino acids,1.24,Northern lobster,Crustacean
"Methionine,",Amino acids,0.413,Northern lobster,Crustacean
"Cystine,",Amino acids,0.181,Northern lobster,Crustacean
"Phenylalanine,",Amino acids,0.68,Northern lobster,Crustacean
"Tyrosine,",Amino acids,0.586,Northern lobster,Crustacean
"Valine,",Amino acids,0.741,Northern lobster,Crustacean
"Arginine,",Amino acids,1.524,Northern lobster,Crustacean
"Histidine,",Amino acids,0.413,Northern lobster,Crustacean
"Alanine,",Amino acids,0.878,Northern lobster,Crustacean
Aspartic,Amino acids,1.602,Northern lobster,Crustacean
Glutamic,Amino acids,2.437,Northern lobster,Crustacean
"Glycine,",Amino acids,1.102,Northern lobster,Crustacean
"Proline,",Amino acids,0.741,Northern lobster,Crustacean
"Serine,",Amino acids,0.637,Northern lobster,Crustacean
Total amino acids,Amino acids,15.96,Northern lobster,Crustacean
Saturated,Lipids,0.181,Northern lobster,Crustacean
Monounsaturated,Lipids,0.22,Northern lobster,Crustacean
Polyunsaturated,Lipids,0.296,Northern lobster,Crustacean
"(EPA),",Lipids,102,Northern lobster,Crustacean
"(DHA),",Lipids,68,Northern lobster,Crustacean
Cholesterol,Lipids,127,Northern lobster,Crustacean
Calcium,Minerals,84,Northern lobster,Crustacean
Iron,Minerals,0.26,Northern lobster,Crustacean
Magnesium,Minerals,38,Northern lobster,Crustacean
Phosphorus,Minerals,161,Northern lobster,Crustacean
Potassium,Minerals,200,Northern lobster,Crustacean
Sodium,Minerals,423,Northern lobster,Crustacean
Zinc,Minerals,3.53,Northern lobster,Crustacean
Copper,Minerals,1.35,Northern lobster,Crustacean
Manganese,Minerals,0.06,Northern lobster,Crustacean
Selenium,Minerals,63.6,Northern lobster,Crustacean
Vitamins,Minerals,,Northern lobster,Crustacean
Vitamin C,Minerals,0,Northern lobster,Crustacean
"Thiamin,",Minerals,0.02,Northern lobster,Crustacean
"Riboflavin,",Minerals,0.01,Northern lobster,Crustacean
"Niacin,",Minerals,1.59,Northern lobster,Crustacean
Pantothenic,Minerals,1.45,Northern lobster,Crustacean
Vitamin B6,Minerals,0.1,Northern lobster,Crustacean
"Folate,",Minerals,10,Northern lobster,Crustacean
"Choline,",Minerals,70.3,Northern lobster,Crustacean
Vitamin B12,Minerals,1.25,Northern lobster,Crustacean
Vitamin A,Minerals,4,Northern lobster,Crustacean
Vitamin E,Minerals,0.87,Northern lobster,Crustacean
Vitamin D,Minerals,2,Northern lobster,Crustacean
Vitamin K,Minerals,NA,Northern lobster,Crustacean
"Water,",Water,83.01,Shrimp,Crustacean
"Energy,",Energy,71,Shrimp,Crustacean
Protein (N x 6.25),Protein,13.61,Shrimp,Crustacean
Total lipid (fat),Fat,1.01,Shrimp,Crustacean
"Tryptophan,",Amino acids,0.155,Shrimp,Crustacean
"Threonine,",Amino acids,0.54,Shrimp,Crustacean
"Isoleucine,",Amino acids,0.627,Shrimp,Crustacean
"Leucine,",Amino acids,1.165,Shrimp,Crustacean
"Lysine,",Amino acids,1.297,Shrimp,Crustacean
"Methionine,",Amino acids,0.397,Shrimp,Crustacean
"Cystine,",Amino acids,0.162,Shrimp,Crustacean
"Phenylalanine,",Amino acids,0.593,Shrimp,Crustacean
"Tyrosine,",Amino acids,0.515,Shrimp,Crustacean
"Valine,",Amino acids,0.637,Shrimp,Crustacean
"Arginine,",Amino acids,1.342,Shrimp,Crustacean
"Histidine,",Amino acids,0.3,Shrimp,Crustacean
"Alanine,",Amino acids,0.842,Shrimp,Crustacean
Aspartic,Amino acids,1.517,Shrimp,Crustacean
Glutamic,Amino acids,2.39,Shrimp,Crustacean
"Glycine,",Amino acids,0.801,Shrimp,Crustacean
"Proline,",Amino acids,0.626,Shrimp,Crustacean
"Serine,",Amino acids,0.555,Shrimp,Crustacean
Total amino acids,Amino acids,14.46,Shrimp,Crustacean
Saturated,Lipids,0.115,Shrimp,Crustacean
Monounsaturated,Lipids,0.08,Shrimp,Crustacean
Polyunsaturated,Lipids,0.13,Shrimp,Crustacean
"(EPA),",Lipids,30,Shrimp,Crustacean
"(DHA),",Lipids,31,Shrimp,Crustacean
Cholesterol,Lipids,126,Shrimp,Crustacean
Calcium,Minerals,54,Shrimp,Crustacean
Iron,Minerals,0.21,Shrimp,Crustacean
Magnesium,Minerals,22,Shrimp,Crustacean
Phosphorus,Minerals,244,Shrimp,Crustacean
Potassium,Minerals,113,Shrimp,Crustacean
Sodium,Minerals,566,Shrimp,Crustacean
Zinc,Minerals,0.97,Shrimp,Crustacean
Copper,Minerals,0.18,Shrimp,Crustacean
Manganese,Minerals,0.03,Shrimp,Crustacean
Selenium,Minerals,29.6,Shrimp,Crustacean
Vitamins,Minerals,,Shrimp,Crustacean
Vitamin C,Minerals,0,Shrimp,Crustacean
"Thiamin,",Minerals,0.02,Shrimp,Crustacean
"Riboflavin,",Minerals,0.02,Shrimp,Crustacean
"Niacin,",Minerals,1.78,Shrimp,Crustacean
Pantothenic,Minerals,0.31,Shrimp,Crustacean
Vitamin B6,Minerals,0.16,Shrimp,Crustacean
"Folate,",Minerals,19,Shrimp,Crustacean
"Choline,",Minerals,80.9,Shrimp,Crustacean
Vitamin B12,Minerals,1.11,Shrimp,Crustacean
Vitamin A,Minerals,180,Shrimp,Crustacean
Vitamin E,Minerals,1.32,Shrimp,Crustacean
Vitamin D,Minerals,1,Shrimp,Crustacean
Vitamin K,Minerals,0.3,Shrimp,Crustacean
"Water,",Water,78.98,Clams,Bivalves
"Energy,",Energy,86,Clams,Bivalves
Protein (N x 6.25),Protein,14.67,Clams,Bivalves
Total lipid (fat),Fat,0.96,Clams,Bivalves
"Tryptophan,",Amino acids,0.205,Clams,Bivalves
"Threonine,",Amino acids,0.7,Clams,Bivalves
"Isoleucine,",Amino acids,0.693,Clams,Bivalves
"Leucine,",Amino acids,1.2,Clams,Bivalves
"Lysine,",Amino acids,1.123,Clams,Bivalves
"Methionine,",Amino acids,0.423,Clams,Bivalves
"Cystine,",Amino acids,0.175,Clams,Bivalves
"Phenylalanine,",Amino acids,0.56,Clams,Bivalves
"Tyrosine,",Amino acids,0.597,Clams,Bivalves
"Valine,",Amino acids,0.743,Clams,Bivalves
"Arginine,",Amino acids,1.21,Clams,Bivalves
"Histidine,",Amino acids,0.3,Clams,Bivalves
"Alanine,",Amino acids,0.885,Clams,Bivalves
Aspartic,Amino acids,1.608,Clams,Bivalves
Glutamic,Amino acids,2.248,Clams,Bivalves
"Glycine,",Amino acids,0.64,Clams,Bivalves
"Proline,",Amino acids,0.5,Clams,Bivalves
"Serine,",Amino acids,0.69,Clams,Bivalves
Total amino acids,Amino acids,14.5,Clams,Bivalves
Saturated,Lipids,0.187,Clams,Bivalves
Monounsaturated,Lipids,0.12,Clams,Bivalves
Polyunsaturated,Lipids,0.192,Clams,Bivalves
"(EPA),",Lipids,43,Clams,Bivalves
"(DHA),",Lipids,64,Clams,Bivalves
Cholesterol,Lipids,30,Clams,Bivalves
Calcium,Minerals,39,Clams,Bivalves
Iron,Minerals,1.62,Clams,Bivalves
Magnesium,Minerals,19,Clams,Bivalves
Phosphorus,Minerals,198,Clams,Bivalves
Potassium,Minerals,46,Clams,Bivalves
Sodium,Minerals,601,Clams,Bivalves
Zinc,Minerals,0.51,Clams,Bivalves
Copper,Minerals,0.05,Clams,Bivalves
Manganese,Minerals,0.09,Clams,Bivalves
Selenium,Minerals,30.6,Clams,Bivalves
Vitamins,Minerals,,Clams,Bivalves
Vitamin C,Minerals,0,Clams,Bivalves
"Thiamin,",Minerals,0.02,Clams,Bivalves
"Riboflavin,",Minerals,0.04,Clams,Bivalves
"Niacin,",Minerals,0.35,Clams,Bivalves
Pantothenic,Minerals,0.15,Clams,Bivalves
Vitamin B6,Minerals,0.01,Clams,Bivalves
"Folate,",Minerals,5,Clams,Bivalves
"Choline,",Minerals,65,Clams,Bivalves
Vitamin B12,Minerals,11.28,Clams,Bivalves
Vitamin A,Minerals,300,Clams,Bivalves
Vitamin E,Minerals,0.68,Clams,Bivalves
Vitamin D,Minerals,0,Clams,Bivalves
Vitamin K,Minerals,0.2,Clams,Bivalves
"Water,",Water,80.58,Blue mussel,Bivalves
"Energy,",Energy,86,Blue mussel,Bivalves
Protein (N x 6.25),Protein,11.9,Blue mussel,Bivalves
Total lipid (fat),Fat,2.24,Blue mussel,Bivalves
"Tryptophan,",Amino acids,0.133,Blue mussel,Bivalves
"Threonine,",Amino acids,0.512,Blue mussel,Bivalves
"Isoleucine,",Amino acids,0.518,Blue mussel,Bivalves
"Leucine,",Amino acids,0.838,Blue mussel,Bivalves
"Lysine,",Amino acids,0.889,Blue mussel,Bivalves
"Methionine,",Amino acids,0.268,Blue mussel,Bivalves
"Cystine,",Amino acids,0.156,Blue mussel,Bivalves
"Phenylalanine,",Amino acids,0.426,Blue mussel,Bivalves
"Tyrosine,",Amino acids,0.381,Blue mussel,Bivalves
"Valine,",Amino acids,0.52,Blue mussel,Bivalves
"Arginine,",Amino acids,0.868,Blue mussel,Bivalves
"Histidine,",Amino acids,0.228,Blue mussel,Bivalves
"Alanine,",Amino acids,0.72,Blue mussel,Bivalves
Aspartic,Amino acids,1.148,Blue mussel,Bivalves
Glutamic,Amino acids,1.618,Blue mussel,Bivalves
"Glycine,",Amino acids,0.744,Blue mussel,Bivalves
"Proline,",Amino acids,0.486,Blue mussel,Bivalves
"Serine,",Amino acids,0.533,Blue mussel,Bivalves
Total amino acids,Amino acids,10.99,Blue mussel,Bivalves
Saturated,Lipids,0.425,Blue mussel,Bivalves
Monounsaturated,Lipids,0.507,Blue mussel,Bivalves
Polyunsaturated,Lipids,0.606,Blue mussel,Bivalves
"(EPA),",Lipids,188,Blue mussel,Bivalves
"(DHA),",Lipids,253,Blue mussel,Bivalves
Cholesterol,Lipids,28,Blue mussel,Bivalves
Calcium,Minerals,26,Blue mussel,Bivalves
Iron,Minerals,3.95,Blue mussel,Bivalves
Magnesium,Minerals,34,Blue mussel,Bivalves
Phosphorus,Minerals,197,Blue mussel,Bivalves
Potassium,Minerals,320,Blue mussel,Bivalves
Sodium,Minerals,286,Blue mussel,Bivalves
Zinc,Minerals,1.6,Blue mussel,Bivalves
Copper,Minerals,0.09,Blue mussel,Bivalves
Manganese,Minerals,3.4,Blue mussel,Bivalves
Selenium,Minerals,44.8,Blue mussel,Bivalves
Vitamins,Minerals,,Blue mussel,Bivalves
Vitamin C,Minerals,8,Blue mussel,Bivalves
"Thiamin,",Minerals,0.16,Blue mussel,Bivalves
"Riboflavin,",Minerals,0.21,Blue mussel,Bivalves
"Niacin,",Minerals,1.6,Blue mussel,Bivalves
Pantothenic,Minerals,0.5,Blue mussel,Bivalves
Vitamin B6,Minerals,0.05,Blue mussel,Bivalves
"Folate,",Minerals,42,Blue mussel,Bivalves
"Choline,",Minerals,65,Blue mussel,Bivalves
Vitamin B12,Minerals,12,Blue mussel,Bivalves
Vitamin A,Minerals,160,Blue mussel,Bivalves
Vitamin E,Minerals,0.55,Blue mussel,Bivalves
Vitamin D,Minerals,NA,Blue mussel,Bivalves
Vitamin K,Minerals,0.1,Blue mussel,Bivalves
"Water,",Water,82.06,Pacific oyster,Bivalves
"Energy,",Energy,81,Pacific oyster,Bivalves
Protein (N x 6.25),Protein,9.45,Pacific oyster,Bivalves
Total lipid (fat),Fat,2.3,Pacific oyster,Bivalves
"Tryptophan,",Amino acids,0.106,Pacific oyster,Bivalves
"Threonine,",Amino acids,0.407,Pacific oyster,Bivalves
"Isoleucine,",Amino acids,0.411,Pacific oyster,Bivalves
"Leucine,",Amino acids,0.665,Pacific oyster,Bivalves
"Lysine,",Amino acids,0.706,Pacific oyster,Bivalves
"Methionine,",Amino acids,0.213,Pacific oyster,Bivalves
"Cystine,",Amino acids,0.124,Pacific oyster,Bivalves
"Phenylalanine,",Amino acids,0.339,Pacific oyster,Bivalves
"Tyrosine,",Amino acids,0.302,Pacific oyster,Bivalves
"Valine,",Amino acids,0.413,Pacific oyster,Bivalves
"Arginine,",Amino acids,0.689,Pacific oyster,Bivalves
"Histidine,",Amino acids,0.181,Pacific oyster,Bivalves
"Alanine,",Amino acids,0.572,Pacific oyster,Bivalves
Aspartic,Amino acids,0.912,Pacific oyster,Bivalves
Glutamic,Amino acids,1.285,Pacific oyster,Bivalves
"Glycine,",Amino acids,0.591,Pacific oyster,Bivalves
"Proline,",Amino acids,0.386,Pacific oyster,Bivalves
"Serine,",Amino acids,0.423,Pacific oyster,Bivalves
Total amino acids,Amino acids,8.73,Pacific oyster,Bivalves
Saturated,Lipids,0.51,Pacific oyster,Bivalves
Monounsaturated,Lipids,0.358,Pacific oyster,Bivalves
Polyunsaturated,Lipids,0.894,Pacific oyster,Bivalves
"(EPA),",Lipids,438,Pacific oyster,Bivalves
"(DHA),",Lipids,250,Pacific oyster,Bivalves
Cholesterol,Lipids,50,Pacific oyster,Bivalves
Calcium,Minerals,8,Pacific oyster,Bivalves
Iron,Minerals,5.11,Pacific oyster,Bivalves
Magnesium,Minerals,22,Pacific oyster,Bivalves
Phosphorus,Minerals,162,Pacific oyster,Bivalves
Potassium,Minerals,168,Pacific oyster,Bivalves
Sodium,Minerals,106,Pacific oyster,Bivalves
Zinc,Minerals,16.62,Pacific oyster,Bivalves
Copper,Minerals,1.58,Pacific oyster,Bivalves
Manganese,Minerals,0.64,Pacific oyster,Bivalves
Selenium,Minerals,77,Pacific oyster,Bivalves
Vitamins,Minerals,,Pacific oyster,Bivalves
Vitamin C,Minerals,8,Pacific oyster,Bivalves
"Thiamin,",Minerals,0.07,Pacific oyster,Bivalves
"Riboflavin,",Minerals,0.23,Pacific oyster,Bivalves
"Niacin,",Minerals,2.01,Pacific oyster,Bivalves
